id,byline,image_url,url,section,publisher,title,date
2770086,,,https://nos.nl/artikel/2368196-kamer-zet-zwaarste-middel-in-parlementaire-enquete-naar-toeslagenaffaire.html,Politiek,NOS nieuws,Kamer zet zwaarste middel in: parlementaire enquête naar toeslagenaffaire,2021-02-11T09:08:40
2770090,,,https://nos.nl/artikel/2368190-dossiers-over-arnhemse-discriminatieaffaire-toch-volledig-openbaar.html,Regionaal nieuws,NOS nieuws,Dossiers over Arnhemse discriminatieaffaire toch volledig openbaar,2021-02-11T08:17:20
2770096,,,https://nos.nl/artikel/2368175-wekdienst-11-2-rabobank-presenteert-jaarcijfers-wk-afstanden-schaatsen.html,Binnenland | Buitenland,NOS nieuws,Wekdienst 11/2: Rabobank presenteert jaarcijfers • WK afstanden schaatsen,2021-02-11T06:58:22
2770119,,,https://nos.nl/artikel/2368168-rutte-wil-na-verkiezingen-niet-in-kabinet-met-forum-voor-democratie.html,Politiek,NOS nieuws,Rutte wil na verkiezingen niet in kabinet met Forum voor Democratie,2021-02-10T23:47:06
2770124,,,https://nos.nl/artikel/2368153-gedupeerden-toeslagenaffaire-werd-jarenlang-rechtsbijstand-ontzegd.html,Politiek,NOS nieuws,'Gedupeerden toeslagenaffaire werd jarenlang rechtsbijstand ontzegd',2021-02-10T20:51:21
2770128,,,https://nos.nl/artikel/2368143-coronatest-nl-voldoet-niet-aan-de-veiligheidseisen-hoe-erg-is-dat.html,Binnenland | Politiek | Tech,NOS nieuws,"Coronatest.nl voldoet niet aan de veiligheidseisen, hoe erg is dat?",2021-02-10T19:22:21
2770129,,,https://nos.nl/artikel/2368142-wachten-op-duidelijkheid-over-examens-minister-kan-meer-met-ons-meedenken.html,Binnenland,NOS nieuws,Wachten op duidelijkheid over examens: 'Minister kan meer met ons meedenken',2021-02-10T19:20:17
2770137,,,https://nos.nl/artikel/2368117-grote-zorgen-in-kamer-is-belastingdienst-wel-klaar-voor-hersteloperatie-toeslagen.html,Politiek,NOS nieuws,Grote zorgen in Kamer: is Belastingdienst wel klaar voor hersteloperatie Toeslagen? ,2021-02-10T17:04:17
2770138,,,https://nos.nl/artikel/2368113-rechtszaak-poststemmen-oneerlijk-om-alleen-70-per-post-te-laten-stemmen.html,Binnenland,NOS nieuws,Rechtszaak poststemmen: 'oneerlijk om alleen 70+ per post te laten stemmen',2021-02-10T16:47:43
2770146,,,https://nos.nl/artikel/2368095-zorg-in-omt-maar-volgens-ollongren-kunnen-verkiezingen-gewoon-doorgaan.html,Binnenland | Politiek,NOS nieuws,"Zorg in OMT, maar volgens Ollongren kunnen verkiezingen gewoon doorgaan",2021-02-10T15:14:44
2770167,,,https://nos.nl/artikel/2368036-rechtszaak-over-poststemmen-waarom-moet-ik-mijn-gezondheid-op-het-spel-zetten.html,Binnenland | Politiek,NOS nieuws,Rechtszaak over poststemmen: 'Waarom moet ik mijn gezondheid op het spel zetten?',2021-02-10T07:15:27
2770168,,,https://nos.nl/artikel/2368035-wekdienst-10-2-niet-essentiele-winkels-open-voor-afhalen-kort-geding-pvdd.html,Binnenland | Buitenland,NOS nieuws,Wekdienst 10/2: Niet-essentiële winkels open voor afhalen • Kort geding PvdD,2021-02-10T06:59:00
2770201,,,https://nos.nl/nieuwsuur/artikel/2368156-ruimte-voor-nieuwe-partijen-in-rechts-populistische-hoek.html,Binnenland | Politiek,Nieuwsuur,'Ruimte voor nieuwe partijen in rechts-populistische hoek',2021-02-10T22:04:55
2770205,,,https://nos.nl/nieuwsuur/artikel/2368078-de-uitzending-van-10-februari-van-der-leyen-erkent-fouten-ruimte-op-rechts-protesten-in-myanmar-hoe-zorgen-we-voor-genoeg-huizen.html,Binnenland,Nieuwsuur,De uitzending van 10 februari: Van der Leyen erkent fouten / Ruimte op rechts? / Protesten in Myanmar / Hoe zorgen we voor genoeg huizen?,2021-02-10T13:20:39
2770209,,,https://nos.nl/artikel/2368011-eerste-kamer-steunt-grondwettelijk-verbod-discriminatie-wegens-handicap-of-seksualiteit.html,Politiek,NOS nieuws,Eerste Kamer steunt grondwettelijk verbod discriminatie wegens handicap of seksualiteit,2021-02-09T21:14:26
2770210,,,https://nos.nl/artikel/2368005-brussel-denkt-aan-dwanglicenties-om-vaccinproductie-op-te-schroeven.html,Buitenland,NOS nieuws,Brussel denkt aan dwanglicenties om vaccinproductie op te schroeven,2021-02-09T20:43:03
2770216,,,https://nos.nl/artikel/2367985-kamer-huren-sociale-woningen-dit-jaar-bevriezen.html,Politiek,NOS nieuws,Kamer: huren sociale woningen dit jaar bevriezen,2021-02-09T17:58:51
2770217,,,https://nos.nl/artikel/2367981-kamer-steunt-verlengen-avondklok-maar-wil-zicht-op-einde-ervan.html,Binnenland | Politiek | Economie,NOS nieuws,"Kamer steunt verlengen avondklok, maar wil zicht op einde ervan",2021-02-09T16:59:11
2770225,,,https://nos.nl/artikel/2367965-elsevier-weekblad-baudet-verstuurde-zelf-ook-racistische-appjes.html,Politiek,NOS nieuws,Elsevier Weekblad: Baudet verstuurde zelf ook racistische appjes ,2021-02-09T14:51:16
2770229,,,https://nos.nl/artikel/2367956-top-europese-commissie-onder-vuur-door-vaccinruzie-en-ruslandreis.html,Buitenland,NOS nieuws,Top Europese Commissie onder vuur door vaccinruzie en Ruslandreis,2021-02-09T13:19:48
2770243,,,https://nos.nl/artikel/2367910-wekdienst-9-2-start-tweede-impeachmentproces-trump-pvda-bestaat-75-jaar.html,Buitenland,NOS nieuws,Wekdienst 9/2: Start tweede impeachmentproces Trump • PvdA bestaat 75 jaar,2021-02-09T06:56:31
2770244,,,https://nos.nl/artikel/2367908-pvda-75-jaar-we-zijn-pas-net-begonnen.html,Politiek,NOS nieuws,PvdA 75 jaar: ‘We zijn pas net begonnen’,2021-02-09T06:02:32
2770248,,,https://nos.nl/artikel/2367903-kamer-roept-kabinet-op-om-armeense-genocide-eindelijk-te-erkennen.html,Buitenland | Politiek,NOS nieuws,Kamer roept kabinet op om Armeense genocide 'eindelijk te erkennen',2021-02-09T03:00:08
2770253,,,https://nos.nl/nieuwsuur/artikel/2367945-de-uitzending-van-9-februari-vaccins-in-nederland-amateuristisch-vervoerd-baudet-verstuurde-racistische-appjes-oekraine-verliezer-in-de-vaccincompetitie-bitcoin-breekt-records-nederland-in-2050-deeltijdwerken-op-de-schop.html,Binnenland,Nieuwsuur,De uitzending van 9 februari: Vaccins in Nederland amateuristisch vervoerd / Baudet verstuurde racistische appjes / Oekraïne verliezer in de vaccincompetitie / Bitcoin breekt records / Nederland in 2050: deeltijdwerken op de schop?,2021-02-09T12:11:13
2770289,,,https://nos.nl/artikel/2367876-eerste-verkiezingsdebat-in-teken-van-felle-discussies-over-coronabestrijding.html,Politiek,NOS nieuws,Eerste verkiezingsdebat in teken van felle discussies over coronabestrijding,2021-02-08T19:40:05
2770300,,,https://nos.nl/artikel/2367848-raadsleden-arnhem-willen-duidelijkheid-na-langslepend-conflict-diversiteitsrapport.html,Regionaal nieuws,NOS nieuws,Raadsleden Arnhem willen duidelijkheid na langslepend conflict diversiteitsrapport,2021-02-08T17:38:46
